ComplaintID,ComplaintType,ComplaintDescription,Category
af95fc47-71be-4ffc-8cde-ac673a468583,UNSANITARY CONDITION,PESTS,Pests
d38e98b5-6cde-41dd-84df-bdb621e876cc,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Dirty Conditions
f695cb69-aa5a-44b4-ac7d-c08f7b3c4443,Rodent,Rat Sighting,Pests
2fae45df-8b43-45f2-b3ac-4eaefe4231e7,Sewer,Sewer Backup (Use Comments) (SA),Sewage
ea8b41b7-140b-411a-bb0b-41af459047e8,Missed Collection (All Materials),1 Missed Collection,Dirty Conditions
8bec11e9-3dee-401c-95ea-5ef7399cafbf,Homeless Person Assistance,N/A,Homelessness
65a3b87d-a1d8-4213-b4c4-bde9303ae11e,Dirty Conditions,E3 Dirty Sidewalk,Dirty Conditions
0f712ca5-4ff1-444d-af69-22c60cdcfcd2,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),Sewage
3defb5b2-abd9-415d-81c2-16426d844fad,Homeless Person Assistance,N/A,Homelessness
680f4957-1f84-4add-b728-911b67efd920,Sanitation Condition,12 Dead Animals,Animal Waste
3224625c-1952-45b3-a755-e1dc36924c88,Encampment,N/A,Homelessness
3512d5c4-8572-4457-85ce-a4b9a5070d95,Rodent,Condition Attracting Rodents,Pests
93c80b4b-dd02-4059-99ee-3b5eb286061c,Dirty Condition,Trash,Dirty Conditions
e7263d63-ae72-4579-8c23-4c6854768c49,Dirty Conditions,E3A Dirty Area/Alleyway,Dirty Conditions
20009c80-dc69-4d9f-87f5-06398e751254,Missed Collection,Trash,Dirty Conditions
c226bc77-d53c-4c6a-be80-7b002b54b473,Missed Collection (All Materials),2 Bulk-Missed Collection,Dirty Conditions
2f4f0b66-a870-42e1-a27b-8f4129514391,Illegal Dumping,Removal Request,Dirty Conditions
e1680513-ac2b-43ff-acad-e18be07bb0bd,Rodent,Mouse Sighting,Pests
e298b689-87f5-4171-93e2-3031c0f3bc46,Missed Collection (All Materials),1R Missed Recycling-All Materials,Dirty Conditions
c56f4df3-d9b8-42d1-be60-34e0867c5eaf,Dirty Conditions,E1 Improper Disposal,Dirty Conditions
fc84d26a-3627-4d11-8be7-08e49a94a50e,Maintenance or Facility,Garbage or Litter,Dirty Conditions
64dff70e-c1e5-4e2d-88b4-9a36a9267fec,Homeless Encampment,N/A,Homelessness
7855b3c1-5e47-47c7-b55f-ce2a95ec4b58,Food Establishment,Rodents/Insects/Garbage,Pests
1876e215-5600-4698-998e-534747de6bdb,Rodent,Signs of Rodents,Pests
483b130c-1c45-488c-9b0d-7db67c2d96eb,Dirty Conditions,E12 Illegal Dumping Surveillance,Dirty Conditions
33caa41b-2d5e-4ca3-8235-9f2662cb8365,Missed Collection (All Materials),1RG Missed Recycling Paper,Dirty Conditions
639fc208-d578-4db3-b1e4-bff20e0371d6,Dirty Conditions,E8 Canine Violation,Animal Waste
746cebcd-162d-4c91-b41f-5d7e3c53acf1,Missed Collection (All Materials),1RB Missed Recycling - M/G/Pl,Dirty Conditions
f326a110-66ee-43b9-86cb-5997406249b0,Missed Collection (All Materials),2R Bulk-Missed Recy Collection,Dirty Conditions
7a72beae-e023-410d-8832-677ee40ba4f4,UNSANITARY CONDITION,SEWAGE,Sewage
015540f4-b369-4ec7-8475-5385ea0e3f9b,Sewer,Sewer Odor (SA2),Sewage
f0d41383-1bc1-46c4-8581-98d6fd2481bd,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,Dirty Conditions
aed0b8f1-00c7-4434-9586-d9e3fcebaed0,Missed Collection,Bulky Trash,Dirty Conditions
45678b2d-da49-4e24-b80f-6bae96103a0d,Dirty Conditions,E5 Loose Rubbish,Dirty Conditions
28557447-f128-4f47-9472-bdb21123c56a,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Dirty Conditions
d527266a-f755-45da-bfdc-a8d362d68175,Homeless Street Condition,N/A,Homelessness
