TimeId,Hour,AMPM,TimePeriod
3f430bf8-673f-4e20-b32a-d0aecb9a517a,0,AM,Night
8295f3e0-39f1-45dd-a279-d6549a20e914,1,AM,Night
14467eff-351a-400d-80db-4ff290c85bba,2,AM,Night
19846467-f287-4607-9bfe-6b64e2d82c26,3,AM,Night
0a2b144d-98e9-4962-808d-f53fa27b0c99,4,AM,Night
6864c369-6103-43e9-adeb-3c88bfa065ed,5,AM,Early Morning
c7fd9d91-c06f-4f10-95f0-3453092c1a9b,6,AM,Early Morning
bb58f110-574a-4f60-844e-02bbd2ea36c8,7,AM,Breakfast
289e049e-ab3e-4e17-8da2-ea0c8e028061,8,AM,Breakfast
19f11524-0b7a-4195-b029-a9fa257819e7,9,AM,Breakfast
cca5f45f-c590-4982-b0c2-272633ddd75d,10,AM,Morning
df0fec38-bf10-43ff-9a35-e0817a44a40f,11,AM,Morning
f7e7b84d-ecae-46ec-8494-3457ebf4d8e8,12,PM,Lunch
4f319087-8076-414f-9c46-9595e8252720,13,PM,Lunch
fd224ded-e68c-4fff-8388-798641b58976,14,PM,Lunch
e674e608-b31d-4d33-a41e-e798569997a8,15,PM,Afternoon
c0b6bed5-96d7-4cf0-82cf-e1f3006a93e7,16,PM,Afternoon
e0df3fd3-c4a7-4f66-b5cc-d25ad8c6ca32,17,PM,Afternoon
eeb2b163-540d-4743-97d6-56059d6792cf,18,PM,Dinner
72ce2bc3-16f3-427c-b57f-4f75bcbfbbbf,19,PM,Dinner
cf8623cd-5612-45f9-a8bf-921364525c2a,20,PM,Dinner
8a90f234-ab20-413b-bab0-766b7e3e6b97,21,PM,Dinner
34245197-4456-4a51-a91e-65e5bfd45f46,22,PM,Night
dcb58ef5-603c-4dc4-a751-1e6e2110905b,23,PM,Night
