Year,GeogType,FIPSCode,BoroCode,GeogName,GeoID,Pop1,Male ,Fem,LandAcres
2020,NYC2020,3651000,0,New York City,0,8804190,4184548,4619642,192288.84
2020,Boro2020,005,2,Bronx,2,1472654,689426,783228,26989.99
2020,Boro2020,047,3,Brooklyn,3,2736074,1295763,1440311,44401.01
2020,Boro2020,061,1,Manhattan,1,1694251,794484,899767,14500.01
2020,Boro2020,081,4,Queens,4,2405464,1164469,1240995,69583.41
2020,Boro2020,085,5,Staten Island,5,495747,240406,255341,36814.42
2020,CB2020,005,2,Bronx,20001000001,0,0,0,0
2020,CB2020,005,2,Bronx,20001000002,0,0,0,0
2020,CB2020,005,2,Bronx,20001001000,171,168,3,115.92
2020,CB2020,005,2,Bronx,20001001001,1344,1156,188,128
2020,CB2020,005,2,Bronx,20001001002,367,349,18,3.25
2020,CB2020,005,2,Bronx,20001001003,1890,1887,3,167.28
2020,CB2020,005,2,Bronx,20002000001,0,0,0,0
2020,CB2020,005,2,Bronx,20002001000,310,134,176,4.73
2020,CB2020,005,2,Bronx,20002001001,274,133,141,4.67
2020,CB2020,005,2,Bronx,20002001002,306,138,168,4.64
2020,CB2020,005,2,Bronx,20002001003,276,144,132,4.67
2020,CB2020,005,2,Bronx,20002001004,164,76,88,2.87
2020,CB2020,005,2,Bronx,20002001005,0,0,0,0.41
2020,CB2020,005,2,Bronx,20002002000,195,107,88,4.34
2020,CB2020,005,2,Bronx,20002002001,220,117,103,4.66
2020,CB2020,005,2,Bronx,20002002002,242,104,138,4.6
2020,CB2020,005,2,Bronx,20002002003,221,110,111,4.51
2020,CB2020,005,2,Bronx,20002002004,166,82,84,3.24
2020,CB2020,005,2,Bronx,20002002005,63,34,29,1.63
2020,CB2020,005,2,Bronx,20002002006,784,330,454,6.81
2020,CB2020,005,2,Bronx,20002002007,112,67,45,17.32
2020,CB2020,005,2,Bronx,20002002008,54,21,33,1.2
2020,CB2020,005,2,Bronx,20002003000,156,82,74,7.84
2020,CB2020,005,2,Bronx,20002003001,147,77,70,3.07
2020,CB2020,005,2,Bronx,20002003002,57,23,34,1.62
2020,CB2020,005,2,Bronx,20002003003,34,13,21,1
2020,CB2020,005,2,Bronx,20002003004,45,27,18,1.07
2020,CB2020,005,2,Bronx,20002003005,125,56,69,4.66
2020,CB2020,005,2,Bronx,20002003006,32,27,5,0.94
2020,CB2020,005,2,Bronx,20002003007,108,32,76,1.51
2020,CB2020,005,2,Bronx,20002003008,31,20,11,1.22
2020,CB2020,005,2,Bronx,20002003009,20,3,17,1.11
2020,CB2020,005,2,Bronx,20002003010,62,27,35,1.13
2020,CB2020,005,2,Bronx,20002003011,103,43,60,1.36
2020,CB2020,005,2,Bronx,20002003012,99,54,45,1.29
2020,CB2020,005,2,Bronx,20002003013,16,12,4,0.57
2020,CB2020,005,2,Bronx,20002003014,60,51,9,2.82
2020,CB2020,005,2,Bronx,20002003015,27,14,13,1.03
2020,CB2020,005,2,Bronx,20002003016,3,2,1,0.52
2020,CB2020,005,2,Bronx,20002003017,24,6,18,0.63
2020,CB2020,005,2,Bronx,20002003018,11,4,7,1.99
2020,CB2020,005,2,Bronx,20002003019,23,9,14,0.54
2020,CB2020,005,2,Bronx,20002003020,19,9,10,0.67
2020,CB2020,005,2,Bronx,20002003021,47,18,29,0.84
2020,CB2020,005,2,Bronx,20002003022,43,10,33,0.76
2020,CB2020,005,2,Bronx,20002003023,18,9,9,1.17
2020,CB2020,005,2,Bronx,20002003024,18,11,7,0.68
2020,CB2020,005,2,Bronx,20002003025,34,17,17,1.09
2020,CB2020,005,2,Bronx,20002003026,30,26,4,0.45
2020,CB2020,005,2,Bronx,20004000001,0,0,0,0
2020,CB2020,005,2,Bronx,20004000002,0,0,0,0
2020,CB2020,005,2,Bronx,20004001000,564,258,306,4.99
2020,CB2020,005,2,Bronx,20004001001,279,125,154,4.28
2020,CB2020,005,2,Bronx,20004001002,43,29,14,1.7
2020,CB2020,005,2,Bronx,20004001003,132,77,55,4.2
2020,CB2020,005,2,Bronx,20004001004,29,19,10,0.36
2020,CB2020,005,2,Bronx,20004002000,36,12,24,19.64
2020,CB2020,005,2,Bronx,20004002001,0,0,0,0
2020,CB2020,005,2,Bronx,20004002002,587,273,314,42.19
2020,CB2020,005,2,Bronx,20004002003,251,117,134,5.25
2020,CB2020,005,2,Bronx,20004002004,137,53,84,3.69
2020,CB2020,005,2,Bronx,20004002005,172,86,86,5
2020,CB2020,005,2,Bronx,20004002006,250,146,104,5.47
2020,CB2020,005,2,Bronx,20004003000,457,232,225,17.48
2020,CB2020,005,2,Bronx,20004003001,184,106,78,5.06
2020,CB2020,005,2,Bronx,20004003002,192,86,106,5.07
2020,CB2020,005,2,Bronx,20004003003,169,85,84,3.18
2020,CB2020,005,2,Bronx,20004003004,54,19,35,1.15
2020,CB2020,005,2,Bronx,20004003005,1029,480,549,26.65
2020,CB2020,005,2,Bronx,20004003006,54,37,17,1.31
2020,CB2020,005,2,Bronx,20004003007,169,77,92,1.9
2020,CB2020,005,2,Bronx,20004003008,576,252,324,7.36
2020,CB2020,005,2,Bronx,20004003009,100,39,61,2.23
2020,CB2020,005,2,Bronx,20004003010,111,40,71,1.47
2020,CB2020,005,2,Bronx,20004004000,245,105,140,4.51
2020,CB2020,005,2,Bronx,20004004001,170,73,97,3.62
2020,CB2020,005,2,Bronx,20004004002,108,55,53,2.14
2020,CB2020,005,2,Bronx,20004004003,0,0,0,6.78
2020,CB2020,005,2,Bronx,20004004004,174,88,86,3.29
2020,CB2020,005,2,Bronx,20004004005,0,0,0,0.45
2020,CB2020,005,2,Bronx,20016001000,2455,1010,1445,19.2
2020,CB2020,005,2,Bronx,20016002000,313,152,161,4.64
2020,CB2020,005,2,Bronx,20016002001,329,143,186,4.58
2020,CB2020,005,2,Bronx,20016002002,61,30,31,3.56
2020,CB2020,005,2,Bronx,20016002003,0,0,0,0.74
2020,CB2020,005,2,Bronx,20016002004,276,136,140,3.95
2020,CB2020,005,2,Bronx,20016002005,31,18,13,1.19
2020,CB2020,005,2,Bronx,20016003000,745,273,472,5.68
2020,CB2020,005,2,Bronx,20016004000,0,0,0,10.54
2020,CB2020,005,2,Bronx,20016004001,214,118,96,5.4
2020,CB2020,005,2,Bronx,20016004002,0,0,0,5.29
2020,CB2020,005,2,Bronx,20016004003,0,0,0,10.35
2020,CB2020,005,2,Bronx,20016004004,0,0,0,10.18
2020,CB2020,005,2,Bronx,20016004005,63,37,26,5.83
