Year,GeoType,Borough,GeoID,BCT2020,Name,CDType,NTAType,Pop1,Male ,Fem,LandAcres
2020,NYC2020,New York City,0,,NYC,,,8804190,4184548,4619642,192288.84
2020,Boro2020,Manhattan,1,,Manhattan,,,1694251,794484,899767,14500.01
2020,Boro2020,Bronx,2,,Bronx,,,1472654,689426,783228,26989.99
2020,Boro2020,Brooklyn,3,,Brooklyn,,,2736074,1295763,1440311,44401.01
2020,Boro2020,Queens,4,,Queens,,,2405464,1164469,1240995,69583.41
2020,Boro2020,Staten Island,5,,Staten Island,,,495747,240406,255341,36814.42
2020,CD,Manhattan,101,,Manhattan Community District 1,CD,,78390,38199,40191,963.5
2020,CD,Manhattan,102,,Manhattan Community District 2,CD,,92445,44777,47668,867.15
2020,CD,Manhattan,103,,Manhattan Community District 3,CD,,163141,77380,85761,1079.13
2020,CD,Manhattan,104,,Manhattan Community District 4,CD,,131351,68568,62783,1140.46
2020,CD,Manhattan,105,,Manhattan Community District 5,CD,,63600,30897,32703,1003.45
2020,CD,Manhattan,106,,Manhattan Community District 6,CD,,155614,71338,84276,896.03
2020,CD,Manhattan,107,,Manhattan Community District 7,CD,,222129,102192,119937,1225.51
2020,CD,Manhattan,108,,Manhattan Community District 8,CD,,231983,103091,128892,1272.2
2020,CD,Manhattan,109,,Manhattan Community District 9,CD,,110458,51594,58864,963.32
2020,CD,Manhattan,110,,Manhattan Community District 10,CD,,130440,59889,70551,896.84
2020,CD,Manhattan,111,,Manhattan Community District 11,CD,,125771,57500,68271,1522.12
2020,CD,Manhattan,112,,Manhattan Community District 12,CD,,180206,85187,95019,1800.64
2020,CD,Manhattan,164,,Central Park,JIA,,129,112,17,739.38
2020,CD,Bronx,201,,Bronx Community District 1,CD,,100929,46804,54125,1384.77
2020,CD,Bronx,202,,Bronx Community District 2,CD,,54454,25812,28642,1407.33
2020,CD,Bronx,203,,Bronx Community District 3,CD,,93755,43281,50474,1027.83
2020,CD,Bronx,204,,Bronx Community District 4,CD,,150436,70976,79460,1270.58
2020,CD,Bronx,205,,Bronx Community District 5,CD,,132584,62633,69951,880.23
2020,CD,Bronx,206,,Bronx Community District 6,CD,,89216,41538,47678,971.96
2020,CD,Bronx,207,,Bronx Community District 7,CD,,146813,69635,77178,1222.31
2020,CD,Bronx,208,,Bronx Community District 8,CD,,106924,48928,57996,2055.38
2020,CD,Bronx,209,,Bronx Community District 9,CD,,188249,87848,100401,2621.41
2020,CD,Bronx,210,,Bronx Community District 10,CD,,130763,60415,70348,3897.83
2020,CD,Bronx,211,,Bronx Community District 11,CD,,119666,56975,62691,2307.85
2020,CD,Bronx,212,,Bronx Community District 12,CD,,163489,74694,88795,3502.28
2020,CD,Bronx,226,,Van Cortlandt Park,JIA,,122,49,73,1149.71
2020,CD,Bronx,227,,Bronx Park,JIA,,69,33,36,749.96
2020,CD,Bronx,228,,Pelham Bay Park,JIA,,7,5,2,2201.14
2020,CD,Brooklyn,301,,Brooklyn Community District 1,CD,,204125,99957,104168,3025.4
2020,CD,Brooklyn,302,,Brooklyn Community District 2,CD,,130021,60882,69139,1818.29
2020,CD,Brooklyn,303,,Brooklyn Community District 3,CD,,174960,81553,93407,1822.27
2020,CD,Brooklyn,304,,Brooklyn Community District 4,CD,,120747,59042,61705,1300.68
2020,CD,Brooklyn,305,,Brooklyn Community District 5,CD,,200293,92365,107928,3585.67
2020,CD,Brooklyn,306,,Brooklyn Community District 6,CD,,113933,53485,60448,1956.42
2020,CD,Brooklyn,307,,Brooklyn Community District 7,CD,,133230,67735,65495,2390.72
2020,CD,Brooklyn,308,,Brooklyn Community District 8,CD,,108259,48834,59425,1047.37
2020,CD,Brooklyn,309,,Brooklyn Community District 9,CD,,102000,46423,55577,1040.4
2020,CD,Brooklyn,310,,Brooklyn Community District 10,CD,,136071,65846,70225,2553.05
2020,CD,Brooklyn,311,,Brooklyn Community District 11,CD,,198870,97832,101038,2370.76
2020,CD,Brooklyn,312,,Brooklyn Community District 12,CD,,205377,103395,101982,2284.95
2020,CD,Brooklyn,313,,Brooklyn Community District 13,CD,,108905,50564,58341,2002.78
2020,CD,Brooklyn,314,,Brooklyn Community District 14,CD,,164568,77865,86703,1886.31
2020,CD,Brooklyn,315,,Brooklyn Community District 15,CD,,169632,81469,88163,3040.85
2020,CD,Brooklyn,316,,Brooklyn Community District 16,CD,,98506,43591,54915,1184.92
2020,CD,Brooklyn,317,,Brooklyn Community District 17,CD,,162446,72264,90182,2151.01
